2025-09-12 02:43:54.502 main  connection from:/[0:0:0:0:0:0:0:1]:57950
2025-09-12 02:49:28.873 main  connection from:/[0:0:0:0:0:0:0:1]:56920
2025-09-12 03:06:56.287 main  connection from:/[0:0:0:0:0:0:0:1]:52540
2025-09-12 03:16:03.555 main  connection from:/[0:0:0:0:0:0:0:1]:54913
2025-09-12 03:16:21.869 main  connection from:/[0:0:0:0:0:0:0:1]:65226
2025-09-12 03:16:53.872 main  connection from:/[0:0:0:0:0:0:0:1]:52379
2025-09-12 03:17:18.709 main  connection from:/[0:0:0:0:0:0:0:1]:54062
2025-09-12 03:18:41.629 main  connection from:/[0:0:0:0:0:0:0:1]:54014
2025-09-12 03:19:59.937 main  connection from:/[0:0:0:0:0:0:0:1]:51040
2025-09-12 04:20:47.438 main  connection from:/[0:0:0:0:0:0:0:1]:61408
2025-09-12 04:20:47.445 main  Request line: GET / HTTP/1.1
2025-09-12 04:20:47.446 main  header: Host: localhost:8000
2025-09-12 04:20:47.446 main  header: Connection: keep-alive
2025-09-12 04:20:47.446 main  header: Cache-Control: max-age=0
2025-09-12 04:20:47.446 main  header: sec-ch-ua: "Chromium";v="140", "Not=A?Brand";v="24", "Google Chrome";v="140"
2025-09-12 04:20:47.447 main  header: sec-ch-ua-mobile: ?0
2025-09-12 04:20:47.447 main  header: sec-ch-ua-platform: "Windows"
2025-09-12 04:20:47.447 main  header: Upgrade-Insecure-Requests: 1
2025-09-12 04:20:47.447 main  header: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36
2025-09-12 04:20:47.448 main  header: Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7
2025-09-12 04:20:47.448 main  header: Sec-Fetch-Site: none
2025-09-12 04:20:47.448 main  header: Sec-Fetch-Mode: navigate
2025-09-12 04:20:47.449 main  header: Sec-Fetch-User: ?1
2025-09-12 04:20:47.449 main  header: Sec-Fetch-Dest: document
2025-09-12 04:20:47.449 main  header: Accept-Encoding: gzip, deflate, br, zstd
2025-09-12 04:20:47.450 main  header: Accept-Language: en-US,en;q=0.9
2025-09-12 04:26:10.904 main  connection from:/[0:0:0:0:0:0:0:1]:51340
2025-09-12 04:26:19.089 main  Request line: GET /hello HTTP/1.1
2025-09-12 04:26:19.090 main  header: Host: localhost:8000
2025-09-12 04:26:19.091 main  header: Connection: keep-alive
2025-09-12 04:26:19.091 main  header: sec-ch-ua: "Chromium";v="140", "Not=A?Brand";v="24", "Google Chrome";v="140"
2025-09-12 04:26:19.091 main  header: sec-ch-ua-mobile: ?0
2025-09-12 04:26:19.091 main  header: sec-ch-ua-platform: "Windows"
2025-09-12 04:26:19.092 main  header: Upgrade-Insecure-Requests: 1
2025-09-12 04:26:19.092 main  header: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36
2025-09-12 04:26:19.093 main  header: Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7
2025-09-12 04:26:19.094 main  header: Sec-Fetch-Site: none
2025-09-12 04:26:19.094 main  header: Sec-Fetch-Mode: navigate
2025-09-12 04:26:19.094 main  header: Sec-Fetch-User: ?1
2025-09-12 04:26:19.095 main  header: Sec-Fetch-Dest: document
2025-09-12 04:26:19.095 main  header: Accept-Encoding: gzip, deflate, br, zstd
2025-09-12 04:26:19.095 main  header: Accept-Language: en-US,en;q=0.9
2025-09-12 04:28:05.173 main  connection from:/[0:0:0:0:0:0:0:1]:51513
2025-09-12 04:28:05.182 main  Request line: GET /index.html HTTP/1.1
2025-09-12 04:28:05.183 main  header: Host: localhost:8000
2025-09-12 04:28:05.183 main  header: Connection: keep-alive
2025-09-12 04:28:05.183 main  header: Cache-Control: max-age=0
2025-09-12 04:28:05.183 main  header: sec-ch-ua: "Chromium";v="140", "Not=A?Brand";v="24", "Google Chrome";v="140"
2025-09-12 04:28:05.183 main  header: sec-ch-ua-mobile: ?0
2025-09-12 04:28:05.183 main  header: sec-ch-ua-platform: "Windows"
2025-09-12 04:28:05.184 main  header: Upgrade-Insecure-Requests: 1
